priority,score,system,year,project_document,why_it_matters,captures,unique_versions,mime_type,original,archive_exact,archive_history
HIGH,8,Contracts / Bids,2025,2015 18 L5 E Contract Negotiation for Electric Supply after 12 21 17 PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/1156/2015-18-L5-E-Contract-Negotiation-for-Electric-Supply-after-12-21-17-PDF,https://web.archive.org/web/20250928102635/https://www.copperascovetx.gov/DocumentCenter/View/1156/2015-18-L5-E-Contract-Negotiation-for-Electric-Supply-after-12-21-17-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/1156/2015-18-L5-E-Contract-Negotiation-for-Electric-Supply-after-12-21-17-PDF
HIGH,8,Contracts / Bids,2025,2015 25 Accepting a Sealed Bid for Property PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/1163/2015-25-Accepting-a-Sealed-Bid-for-Property-PDF,https://web.archive.org/web/20250928091348/https://www.copperascovetx.gov/DocumentCenter/View/1163/2015-25-Accepting-a-Sealed-Bid-for-Property-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/1163/2015-25-Accepting-a-Sealed-Bid-for-Property-PDF
HIGH,8,Contracts / Bids,2025,2015 55 Contract with Coryell County for Onsite Sewage Services PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/1190/2015-55-Contract-with-Coryell-County-for-Onsite-Sewage-Services-PDF,https://web.archive.org/web/20250926175154/https://www.copperascovetx.gov/DocumentCenter/View/1190/2015-55-Contract-with-Coryell-County-for-Onsite-Sewage-Services-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/1190/2015-55-Contract-with-Coryell-County-for-Onsite-Sewage-Services-PDF
HIGH,8,Contracts / Bids,2025,2015 57 Accepting Sealed Bid Received by the Lampasas Central Appraisal District for Property PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/1192/2015-57-Accepting-Sealed-Bid-Received-by-the-Lampasas-Central-Appraisal-District-for-Property-PDF,https://web.archive.org/web/20250925214757/https://www.copperascovetx.gov/DocumentCenter/View/1192/2015-57-Accepting-Sealed-Bid-Received-by-the-Lampasas-Central-Appraisal-District-for-Property-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/1192/2015-57-Accepting-Sealed-Bid-Received-by-the-Lampasas-Central-Appraisal-District-for-Property-PDF
HIGH,8,Contracts / Bids,2025,2016 11 Authorizing L5 E Inc to Negotiate an Electric Supply Contract PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/1101/2016-11-Authorizing-L5-E-Inc-to-Negotiate-an-Electric-Supply-Contract-PDF,https://web.archive.org/web/20250926155128/https://www.copperascovetx.gov/DocumentCenter/View/1101/2016-11-Authorizing-L5-E-Inc-to-Negotiate-an-Electric-Supply-Contract-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/1101/2016-11-Authorizing-L5-E-Inc-to-Negotiate-an-Electric-Supply-Contract-PDF
HIGH,8,Contracts / Bids,2025,2017 20 Rescinding Action Rejecting Property Bids PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/1065/2017-20-Rescinding-Action-Rejecting-Property-Bids-PDF,https://web.archive.org/web/20250925211425/https://www.copperascovetx.gov/DocumentCenter/View/1065/2017-20-Rescinding-Action-Rejecting-Property-Bids-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/1065/2017-20-Rescinding-Action-Rejecting-Property-Bids-PDF
HIGH,8,Contracts / Bids,2025,2019 01 Authorizing Negotiation of Electric Supply Contract PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/966/2019-01-Authorizing-Negotiation-of-Electric-Supply-Contract-PDF,https://web.archive.org/web/20250928092703/https://www.copperascovetx.gov/DocumentCenter/View/966/2019-01-Authorizing-Negotiation-of-Electric-Supply-Contract-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/966/2019-01-Authorizing-Negotiation-of-Electric-Supply-Contract-PDF
HIGH,8,Contracts / Bids,2025,2019 16 Rezoning of 1006 S 9th Street from B2 to R1 PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/464/2019-16-Rezoning-of-1006-S-9th-Street-from-B2-to-R1-PDF?bidId=,https://web.archive.org/web/20250929131410/https://www.copperascovetx.gov/DocumentCenter/View/464/2019-16-Rezoning-of-1006-S-9th-Street-from-B2-to-R1-PDF?bidId=,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/464/2019-16-Rezoning-of-1006-S-9th-Street-from-B2-to-R1-PDF?bidId=
HIGH,8,Contracts / Bids,2025,2019 24 Zoning change for Liberty Star Addn Phase 2 from R 3 to R 1 PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/470/2019-24-Zoning-change-for-Liberty-Star-Addn-Phase-2-from-R-3-to-R-1-PDF?bidId=,https://web.archive.org/web/20250928104046/https://www.copperascovetx.gov/DocumentCenter/View/470/2019-24-Zoning-change-for-Liberty-Star-Addn-Phase-2-from-R-3-to-R-1-PDF?bidId=,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/470/2019-24-Zoning-change-for-Liberty-Star-Addn-Phase-2-from-R-3-to-R-1-PDF?bidId=
HIGH,8,Contracts / Bids,2025,2021 44 Amending the Code of Ordinances Being Chapter 20 Zonning Article IV PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/437/2021-44-Amending-the-Code-of-Ordinances-Being-Chapter-20-Zonning-Article-IV-PDF?bidId=,https://web.archive.org/web/20250928111643/https://www.copperascovetx.gov/DocumentCenter/View/437/2021-44-Amending-the-Code-of-Ordinances-Being-Chapter-20-Zonning-Article-IV-PDF?bidId=,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/437/2021-44-Amending-the-Code-of-Ordinances-Being-Chapter-20-Zonning-Article-IV-PDF?bidId=
HIGH,8,Contracts / Bids,2025,2024 NNO Vendor Form Fillable.pdf,priority category; infrastructure/money keyword; document/PDF,2,1,application/pdf,https://www.copperascovetx.gov/files/forms/police/2024%20NNO%20Vendor%20Form%20Fillable.pdf,https://web.archive.org/web/20250203022741/https://www.copperascovetx.gov/files/forms/police/2024%20NNO%20Vendor%20Form%20Fillable.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/forms/police/2024%20NNO%20Vendor%20Form%20Fillable.pdf
HIGH,8,Contracts / Bids,2025,2025 NNO Block Party Registration Form PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/3796/2025-NNO-Block-Party-Registration-Form-PDF?bidId=,https://web.archive.org/web/20250927215240/https://www.copperascovetx.gov/DocumentCenter/View/3796/2025-NNO-Block-Party-Registration-Form-PDF?bidId=,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/3796/2025-NNO-Block-Party-Registration-Form-PDF?bidId=
HIGH,8,Contracts / Bids,2025,Backflow PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/2232/Backflow-PDF?bidId=,https://web.archive.org/web/20250926203809/https://www.copperascovetx.gov/DocumentCenter/View/2232/Backflow-PDF?bidId=,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/2232/Backflow-PDF?bidId=
HIGH,8,Contracts / Bids,2025,City Holiday Schedule Thanksgiving PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/4844/City-Holiday-Schedule---Thanksgiving-PDF?bidId=,https://web.archive.org/web/20251202204900/https://www.copperascovetx.gov/DocumentCenter/View/4844/City-Holiday-Schedule---Thanksgiving-PDF?bidId=,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/4844/City-Holiday-Schedule---Thanksgiving-PDF?bidId=
HIGH,8,Contracts / Bids,2025,Claim Form A General Claim Form PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/1561/Claim-Form-A---General-Claim-Form-PDF?bidId=,https://web.archive.org/web/20251001032819/https://www.copperascovetx.gov/DocumentCenter/View/1561/Claim-Form-A---General-Claim-Form-PDF?bidId=,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/1561/Claim-Form-A---General-Claim-Form-PDF?bidId=
HIGH,8,Contracts / Bids,2025,Claim Form C Business Owner Claim Form PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/1565/Claim-Form-C---Business-Owner-Claim-Form-PDF?bidId=,https://web.archive.org/web/20250928095354/https://www.copperascovetx.gov/DocumentCenter/View/1565/Claim-Form-C---Business-Owner-Claim-Form-PDF?bidId=,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/1565/Claim-Form-C---Business-Owner-Claim-Form-PDF?bidId=
HIGH,8,Contracts / Bids,2025,Food Truck New Vendor Letter PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/2078/Food-Truck-New-Vendor-Letter-PDF,https://web.archive.org/web/20250928091432/https://www.copperascovetx.gov/DocumentCenter/View/2078/Food-Truck-New-Vendor-Letter-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/2078/Food-Truck-New-Vendor-Letter-PDF
HIGH,8,Contracts / Bids,2025,Food Truck New Vendor Letter.pdf,priority category; infrastructure/money keyword; document/PDF,5,1,application/pdf,https://www.copperascovetx.gov/files/code_compliance/Food%20Truck%20New%20Vendor%20Letter.pdf,https://web.archive.org/web/20250803023847/https://www.copperascovetx.gov/files/code_compliance/Food%20Truck%20New%20Vendor%20Letter.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/code_compliance/Food%20Truck%20New%20Vendor%20Letter.pdf
HIGH,8,Contracts / Bids,2025,General Inspection List PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/1566/General-Inspection-List-PDF?bidId=,https://web.archive.org/web/20250928045202/https://www.copperascovetx.gov/DocumentCenter/View/1566/General-Inspection-List-PDF?bidId=,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/1566/General-Inspection-List-PDF?bidId=
HIGH,8,Contracts / Bids,2025,National Night Out Vendor Application PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/2276/National-Night-Out-Vendor-Application-PDF,https://web.archive.org/web/20250928104359/https://www.copperascovetx.gov/DocumentCenter/View/2276/National-Night-Out-Vendor-Application-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/2276/National-Night-Out-Vendor-Application-PDF
HIGH,8,Contracts / Bids,2025,Spring Fest Beverage Vendor Application 2024.pdf,priority category; infrastructure/money keyword; document/PDF,2,1,application/pdf,https://www.copperascovetx.gov/files/parks/Special_Events/Spring%20Fest%20Beverage%20Vendor%20Application%202024.pdf,https://web.archive.org/web/20250326232736/https://www.copperascovetx.gov/files/parks/Special_Events/Spring%20Fest%20Beverage%20Vendor%20Application%202024.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/parks/Special_Events/Spring%20Fest%20Beverage%20Vendor%20Application%202024.pdf
HIGH,8,Contracts / Bids,2025,Spring Fest Community Booth Vendor Application 2025.pdf,priority category; infrastructure/money keyword; document/PDF,2,1,application/pdf,https://www.copperascovetx.gov/files/parks/Special_Events/Spring%20Fest%20Community%20Booth%20Vendor%20Application%202025.pdf,https://web.archive.org/web/20250327011649/https://www.copperascovetx.gov/files/parks/Special_Events/Spring%20Fest%20Community%20Booth%20Vendor%20Application%202025.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/parks/Special_Events/Spring%20Fest%20Community%20Booth%20Vendor%20Application%202025.pdf
HIGH,8,Contracts / Bids,2025,Spring Fest Market Vendor Application 2025.pdf,priority category; infrastructure/money keyword; document/PDF,2,1,application/pdf,https://www.copperascovetx.gov/files/parks/Special_Events/Spring%20Fest%20Market%20Vendor%20Application%202025.pdf,https://web.archive.org/web/20250327005319/https://www.copperascovetx.gov/files/parks/Special_Events/Spring%20Fest%20Market%20Vendor%20Application%202025.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/parks/Special_Events/Spring%20Fest%20Market%20Vendor%20Application%202025.pdf
HIGH,8,Contracts / Bids,2026,Notice of Public Hearings 1 PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/5076/Notice-of-Public-Hearings-1-PDF?bidId=,https://web.archive.org/web/20260127123229/https://www.copperascovetx.gov/DocumentCenter/View/5076/Notice-of-Public-Hearings-1-PDF?bidId=,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/5076/Notice-of-Public-Hearings-1-PDF?bidId=
HIGH,8,Contracts / Bids,2026,TCEQ Facts and Guidance PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/2184/TCEQ-Facts-and-Guidance-PDF?bidId=,https://web.archive.org/web/20260123044729/https://www.copperascovetx.gov/DocumentCenter/View/2184/TCEQ-Facts-and-Guidance-PDF?bidId=,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/2184/TCEQ-Facts-and-Guidance-PDF?bidId=
HIGH,8,Debt / Capital,2021,DM8154293v1NoticeofElectionResultsNovember2021WebsitePostingCopperasCove.pdf,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/files/city_secretary/bond/2021/DM8154293v1NoticeofElectionResultsNovember2021WebsitePostingCopperasCove.pdf,https://web.archive.org/web/20211207020739/https://www.copperascovetx.gov/files/city_secretary/bond/2021/DM8154293v1NoticeofElectionResultsNovember2021WebsitePostingCopperasCove.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/city_secretary/bond/2021/DM8154293v1NoticeofElectionResultsNovember2021WebsitePostingCopperasCove.pdf
HIGH,8,Debt / Capital,2021,Version 3.0 CISA Guidance on Essential Critical Infrastructure Workers.pdf,priority category; infrastructure/money keyword; document/PDF,3,1,application/pdf,https://www.copperascovetx.gov/files/pio/covid-19/04-2020/Version_3.0_-_CISA_Guidance_on_Essential_Critical_Infrastructure_Workers.pdf,https://web.archive.org/web/20210729214055/https://www.copperascovetx.gov/files/pio/covid-19/04-2020/Version_3.0_-_CISA_Guidance_on_Essential_Critical_Infrastructure_Workers.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/pio/covid-19/04-2020/Version_3.0_-_CISA_Guidance_on_Essential_Critical_Infrastructure_Workers.pdf
HIGH,8,Debt / Capital,2025,2017 18 Notice of Intent Certificates of Obligation Series 2017 PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/1063/2017-18-Notice-of-Intent-Certificates-of-Obligation-Series-2017-PDF,https://web.archive.org/web/20250928084658/https://www.copperascovetx.gov/DocumentCenter/View/1063/2017-18-Notice-of-Intent-Certificates-of-Obligation-Series-2017-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/1063/2017-18-Notice-of-Intent-Certificates-of-Obligation-Series-2017-PDF
HIGH,8,Debt / Capital,2025,2018 21 Notice of Intention to Issue Certificates of Obligation PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/1021/2018-21-Notice-of-Intention-to-Issue-Certificates-of-Obligation-PDF,https://web.archive.org/web/20250925211446/https://www.copperascovetx.gov/DocumentCenter/View/1021/2018-21-Notice-of-Intention-to-Issue-Certificates-of-Obligation-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/1021/2018-21-Notice-of-Intention-to-Issue-Certificates-of-Obligation-PDF
HIGH,8,Debt / Capital,2025,2018 50 Amending the Capital Outlay Plan for Fiscal Year 2018 2022 PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/1046/2018-50-Amending-the-Capital-Outlay-Plan-for-Fiscal-Year-2018-2022-PDF,https://web.archive.org/web/20250928013520/https://www.copperascovetx.gov/DocumentCenter/View/1046/2018-50-Amending-the-Capital-Outlay-Plan-for-Fiscal-Year-2018-2022-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/1046/2018-50-Amending-the-Capital-Outlay-Plan-for-Fiscal-Year-2018-2022-PDF
HIGH,8,Debt / Capital,2025,2019 13 Amending the Capital Outlay Plan PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/461/2019-13-Amending-the-Capital-Outlay-Plan-PDF?bidId=,https://web.archive.org/web/20250929002436/https://www.copperascovetx.gov/DocumentCenter/View/461/2019-13-Amending-the-Capital-Outlay-Plan-PDF?bidId=,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/461/2019-13-Amending-the-Capital-Outlay-Plan-PDF?bidId=
HIGH,8,Debt / Capital,2025,2020 15 Authorizing Pulication of Intention to Issue Certificates of Obligation and Providing Effective Date PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/937/2020-15-Authorizing-Pulication-of-Intention-to-Issue-Certificates-of-Obligation-and-Providing-Effective-Date-PDF,https://web.archive.org/web/20250928084949/https://www.copperascovetx.gov/DocumentCenter/View/937/2020-15-Authorizing-Pulication-of-Intention-to-Issue-Certificates-of-Obligation-and-Providing-Effective-Date-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/937/2020-15-Authorizing-Pulication-of-Intention-to-Issue-Certificates-of-Obligation-and-Providing-Effective-Date-PDF
HIGH,8,Debt / Capital,2025,2021 35 Canvassing Returns and Declaring the Results of a Bond Election Held 11 2 2021 PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/897/2021-35-Canvassing-Returns-and-Declaring-the-Results-of-a-Bond-Election-Held-11-2-2021-PDF,https://web.archive.org/web/20250925215812/https://www.copperascovetx.gov/DocumentCenter/View/897/2021-35-Canvassing-Returns-and-Declaring-the-Results-of-a-Bond-Election-Held-11-2-2021-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/897/2021-35-Canvassing-Returns-and-Declaring-the-Results-of-a-Bond-Election-Held-11-2-2021-PDF
HIGH,8,Debt / Capital,2025,2022 17 Publication of Notice of Intention To Issue Certificates of Obligation PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/856/2022-17-Publication-of-Notice-of-Intention-To-Issue-Certificates-of-Obligation-PDF,https://web.archive.org/web/20250925223820/https://www.copperascovetx.gov/DocumentCenter/View/856/2022-17-Publication-of-Notice-of-Intention-To-Issue-Certificates-of-Obligation-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/856/2022-17-Publication-of-Notice-of-Intention-To-Issue-Certificates-of-Obligation-PDF
HIGH,8,Debt / Capital,2025,2024 10 Authorizing Publication of Notice of Intention to Issue Certificates of Obligation PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/794/2024-10-Authorizing-Publication-of-Notice-of-Intention-to-Issue-Certificates-of-Obligation-PDF,https://web.archive.org/web/20250925231412/https://www.copperascovetx.gov/DocumentCenter/View/794/2024-10-Authorizing-Publication-of-Notice-of-Intention-to-Issue-Certificates-of-Obligation-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/794/2024-10-Authorizing-Publication-of-Notice-of-Intention-to-Issue-Certificates-of-Obligation-PDF
HIGH,8,Debt / Capital,2025,2025 21 Adopting the Debt Management Policy PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/4685/2025-21-Adopting-the-Debt-Management-Policy-PDF,https://web.archive.org/web/20250928101421/https://www.copperascovetx.gov/DocumentCenter/View/4685/2025-21-Adopting-the-Debt-Management-Policy-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/4685/2025-21-Adopting-the-Debt-Management-Policy-PDF
HIGH,8,Debt / Capital,2025,2025 24 Adopting the CIP for 2026 2030 PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/4636/2025-24-Adopting-the-CIP-for-2026-2030-PDF,https://web.archive.org/web/20251206150801/https://www.copperascovetx.gov/DocumentCenter/View/4636/2025-24-Adopting-the-CIP-for-2026-2030-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/4636/2025-24-Adopting-the-CIP-for-2026-2030-PDF
HIGH,8,Debt / Capital,2025,CERTIFICATE OF OCCUPANCY PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/3809/CERTIFICATE-OF-OCCUPANCY-PDF,https://web.archive.org/web/20250926084149/https://www.copperascovetx.gov/DocumentCenter/View/3809/CERTIFICATE-OF-OCCUPANCY-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/3809/CERTIFICATE-OF-OCCUPANCY-PDF
HIGH,8,Debt / Capital,2025,Engineering,priority category; infrastructure/money keyword; financial/project keyword,1,1,text/html,https://www.copperascovetx.gov/214/Engineering,https://web.archive.org/web/20250928110218/https://www.copperascovetx.gov/214/Engineering,https://web.archive.org/web/*/https://www.copperascovetx.gov/214/Engineering
HIGH,8,Debt / Capital,2025,capital improvement plan cip town hall meeting,priority category; infrastructure/money keyword; financial/project keyword,1,1,text/html,https://www.copperascovetx.gov/event/capital-improvement-plan-cip-town-hall-meeting/,https://web.archive.org/web/20250318222600/https://www.copperascovetx.gov/event/capital-improvement-plan-cip-town-hall-meeting/,https://web.archive.org/web/*/https://www.copperascovetx.gov/event/capital-improvement-plan-cip-town-hall-meeting/
HIGH,8,Debt / Capital,2025,capital improvement plan cip town hall meeting,priority category; infrastructure/money keyword; financial/project keyword,1,1,text/html,https://www.copperascovetx.gov/event/capital-improvement-plan-cip-town-hall-meeting/?instance_id=166,https://web.archive.org/web/20250319062313/https://www.copperascovetx.gov/event/capital-improvement-plan-cip-town-hall-meeting/?instance_id=166,https://web.archive.org/web/*/https://www.copperascovetx.gov/event/capital-improvement-plan-cip-town-hall-meeting/?instance_id=166
HIGH,8,Debt / Capital,2025,cip.pdf,priority category; infrastructure/money keyword; document/PDF,4,1,application/pdf,https://www.copperascovetx.gov/files/pio/press_releases/01-19/cip.pdf,https://web.archive.org/web/20250210215831/https://www.copperascovetx.gov/files/pio/press_releases/01-19/cip.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/pio/press_releases/01-19/cip.pdf
HIGH,8,Dominion / Grants,2025,2015 04 Grant From the Criminal Justice Division of the Office of the Governor PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/1144/2015-04-Grant-From-the-Criminal-Justice-Division-of-the-Office-of-the-Governor-PDF,https://web.archive.org/web/20250928102843/https://www.copperascovetx.gov/DocumentCenter/View/1144/2015-04-Grant-From-the-Criminal-Justice-Division-of-the-Office-of-the-Governor-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/1144/2015-04-Grant-From-the-Criminal-Justice-Division-of-the-Office-of-the-Governor-PDF
HIGH,8,Dominion / Grants,2025,2015 06 Authorizing the Submission of A Texas Comm Development Block Grant PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/1146/2015-06-Authorizing-the-Submission-of-A-Texas-Comm-Development-Block-Grant-PDF,https://web.archive.org/web/20250925210750/https://www.copperascovetx.gov/DocumentCenter/View/1146/2015-06-Authorizing-the-Submission-of-A-Texas-Comm-Development-Block-Grant-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/1146/2015-06-Authorizing-the-Submission-of-A-Texas-Comm-Development-Block-Grant-PDF
HIGH,8,Dominion / Grants,2025,2015 13 Fire Prevention and Safety Grant PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/1152/2015-13-Fire-Prevention-and-Safety-Grant-PDF,https://web.archive.org/web/20250926100119/https://www.copperascovetx.gov/DocumentCenter/View/1152/2015-13-Fire-Prevention-and-Safety-Grant-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/1152/2015-13-Fire-Prevention-and-Safety-Grant-PDF
HIGH,8,Dominion / Grants,2025,2015 20 COPS CHP Grant PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/1158/2015-20-COPS-CHP-Grant-PDF,https://web.archive.org/web/20250928113950/https://www.copperascovetx.gov/DocumentCenter/View/1158/2015-20-COPS-CHP-Grant-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/1158/2015-20-COPS-CHP-Grant-PDF
HIGH,8,Dominion / Grants,2025,2016 02 Application for an Emergency Management Performance Grant PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/1092/2016-02-Application-for-an-Emergency-Management-Performance-Grant-PDF,https://web.archive.org/web/20250929040642/https://www.copperascovetx.gov/DocumentCenter/View/1092/2016-02-Application-for-an-Emergency-Management-Performance-Grant-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/1092/2016-02-Application-for-an-Emergency-Management-Performance-Grant-PDF
HIGH,8,Dominion / Grants,2025,2016 09 OOG and CJD Justice Assistance Grant Program PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/1099/2016-09-OOG-and-CJD-Justice-Assistance-Grant-Program-PDF,https://web.archive.org/web/20250925210822/https://www.copperascovetx.gov/DocumentCenter/View/1099/2016-09-OOG-and-CJD-Justice-Assistance-Grant-Program-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/1099/2016-09-OOG-and-CJD-Justice-Assistance-Grant-Program-PDF
HIGH,8,Dominion / Grants,2025,2016 12 Allowing for the City to Apply for a SAFER Grant PDF,priority category; infrastructure/money keyword; document/PDF,1,1,application/pdf,https://www.copperascovetx.gov/DocumentCenter/View/1102/2016-12-Allowing-for-the-City-to-Apply-for-a-SAFER-Grant-PDF,https://web.archive.org/web/20250925213104/https://www.copperascovetx.gov/DocumentCenter/View/1102/2016-12-Allowing-for-the-City-to-Apply-for-a-SAFER-Grant-PDF,https://web.archive.org/web/*/https://www.copperascovetx.gov/DocumentCenter/View/1102/2016-12-Allowing-for-the-City-to-Apply-for-a-SAFER-Grant-PDF
